date,y_hat
2025-07-02,20529.495880917955
2025-07-03,20558.99176183591
2025-07-04,20588.487642753866
2025-07-05,20617.98352367182
2025-07-06,20647.479404589776
2025-07-07,20676.97528550773
2025-07-08,20706.471166425687
2025-07-09,20735.96704734364
2025-07-10,20765.462928261597
2025-07-11,20794.958809179552
2025-07-12,20824.454690097507
2025-07-13,20853.950571015463
2025-07-14,20883.446451933418
2025-07-15,20912.942332851373
2025-07-16,20942.43821376933
2025-07-17,20971.934094687284
2025-07-18,21001.42997560524
2025-07-19,21030.925856523194
2025-07-20,21060.42173744115
2025-07-21,21089.917618359104
2025-07-22,21119.41349927706
2025-07-23,21148.909380195015
2025-07-24,21178.40526111297
2025-07-25,21207.901142030925
2025-07-26,21237.39702294888
2025-07-27,21266.892903866836
2025-07-28,21108.394767656984
2025-07-29,21137.89064857494
2025-07-30,21167.386529492895
2025-07-31,21196.88241041085
2025-08-01,21226.378291328805
2025-08-02,21255.87417224676
2025-08-03,21097.37603603691
2025-08-04,21126.871916954864
2025-08-05,21156.36779787282
2025-08-06,21185.863678790774
2025-08-07,21215.35955970873
2025-08-08,21244.855440626685
2025-08-09,21274.35132154464
2025-08-10,21120.245551164622
2025-08-11,21149.741432082577
2025-08-12,21179.237313000533
2025-08-13,21208.733193918488
2025-08-14,21238.229074836443
2025-08-15,21267.7249557544
2025-08-16,21113.61918537438
2025-08-17,21143.115066292336
2025-08-18,21172.61094721029
2025-08-19,21202.106828128246
2025-08-20,21231.6027090462
2025-08-21,21261.098589964156
2025-08-22,21102.600453754305
2025-08-23,21136.488700502094
2025-08-24,21165.98458142005
2025-08-25,21195.480462338004
2025-08-26,21224.97634325596
2025-08-27,21254.472224173915
2025-08-28,21095.974087964063
2025-08-29,21129.862334711852
2025-08-30,21159.358215629807
2025-08-31,21188.854096547762
2025-09-01,21218.349977465718
2025-09-02,21247.845858383673
2025-09-03,21277.341739301628
2025-09-04,21123.23596892161
2025-09-05,21152.731849839565
2025-09-06,21182.22773075752
2025-09-07,21211.723611675476
2025-09-08,21241.21949259343
2025-09-09,21270.715373511386
2025-09-10,21116.60960313137
2025-09-11,21146.105484049323
2025-09-12,21175.60136496728
2025-09-13,21205.097245885234
2025-09-14,21234.59312680319
2025-09-15,21264.089007721144
2025-09-16,21105.590871511293
2025-09-17,21139.47911825908
2025-09-18,21168.974999177037
2025-09-19,21198.470880094992
2025-09-20,21227.966761012947
2025-09-21,21257.462641930902
2025-09-22,21098.96450572105
2025-09-23,21132.85275246884
2025-09-24,21162.348633386795
2025-09-25,21191.84451430475
2025-09-26,21221.340395222705
2025-09-27,21250.83627614066
2025-09-28,21092.33813993081
2025-09-29,21126.226386678598
2025-09-30,21155.722267596553
2025-10-01,21185.21814851451
2025-10-02,21214.714029432464
2025-10-03,21244.20991035042
2025-10-04,21273.705791268374
2025-10-05,21119.600020888356
2025-10-06,21149.09590180631
2025-10-07,21178.591782724267
2025-10-08,21208.08766364222
2025-10-09,21237.583544560177
2025-10-10,21267.079425478132
2025-10-11,21112.973655098114
2025-10-12,21142.46953601607
2025-10-13,21171.965416934025
2025-10-14,21201.46129785198
2025-10-15,21230.957178769935
2025-10-16,21260.45305968789
2025-10-17,21101.95492347804
2025-10-18,21135.843170225828
2025-10-19,21165.339051143783
2025-10-20,21194.834932061738
2025-10-21,21224.330812979693
2025-10-22,21253.82669389765
2025-10-23,21095.328557687797
2025-10-24,21129.216804435586
2025-10-25,21158.71268535354
2025-10-26,21188.208566271496
2025-10-27,21217.70444718945
2025-10-28,21247.200328107407
2025-10-29,21276.696209025362
