city,entity,n,r2,rmse,mae,mape_pct,r2_base,rmse_base,saved,model_path,best_params,status
Kab. Jayawijaya,kab._jayawijaya,2009,0.9829482865291463,56.0257877132387,8.88888888888889,0.028296814189815066,0.9829482865291463,56.0257877132387,True,C:\Users\ASUS\skripsi_carin\models\kab._jayawijaya_gbm_delta.pack.joblib,"{""learning_rate"": 0.03, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",ok
Kota Tual,kota_tual,2009,0.9818689379949788,80.62422420798659,16.790903695993258,0.070849737674829,0.9817534586213724,80.88057039033953,True,C:\Users\ASUS\skripsi_carin\models\kota_tual_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",ok
Kab. Karanganyar,kab._karanganyar,2009,0.9804557240318851,42.23621380765263,38.964552433757795,0.18975222244371487,0.9928482061339735,25.549516194593153,True,C:\Users\ASUS\skripsi_carin\models\kab._karanganyar_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",ok
Kota Medan,kota_medan,2009,0.9799992597430807,35.304012386824304,23.643563141355784,0.11915359370020563,0.9848443574948614,30.73181485764296,True,C:\Users\ASUS\skripsi_carin\models\kota_medan_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",ok
Kota Bima,kota_bima,2009,0.9794262034552919,36.62450525645534,9.424610082155818,0.04348432136657199,0.9791231732776617,36.89323936863109,True,C:\Users\ASUS\skripsi_carin\models\kota_bima_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",ok
Kota Tanggerang,kota_tanggerang,2009,0.9791562238218017,39.43320769624074,13.02536793561764,0.06991199261098144,0.9802655259009802,38.369548110737796,True,C:\Users\ASUS\skripsi_carin\models\kota_tanggerang_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",ok
Kab. Boyolali,kab._boyolali,2009,0.9781145062861479,58.94388205247948,21.095086970150824,0.11425902915013404,0.9764658421772742,61.12373606964083,True,C:\Users\ASUS\skripsi_carin\models\kab._boyolali_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 3, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",ok
Kota Bandar Lampung,kota_bandar_lampung,2009,0.978037425313853,445.6889154309577,50.40436468108764,0.25914324795643423,0.9780919482314733,445.13535190995555,True,C:\Users\ASUS\skripsi_carin\models\kota_bandar_lampung_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",ok
Kab. Banyumas,kab._banyumas,2009,0.977769869500696,34.62823778016048,10.496476398929817,0.05103165211605237,0.9775989700675893,34.76108935769035,True,C:\Users\ASUS\skripsi_carin\models\kab._banyumas_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",ok
Kota Pontianak,kota_pontianak,2009,0.9775300109052059,15.923261202296656,7.699358991968297,0.0383424752753423,0.9778446389496718,15.811388300841896,True,C:\Users\ASUS\skripsi_carin\models\kota_pontianak_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",ok
