city,entity,n,r2,rmse,mae,mape_pct,saved,model_path,best_params,train_seconds,train_hms
Kota Surakarta (Solo),kota_surakarta_(solo),2009,0.984791221677986,53.08450648150851,34.71915578235425,0.17053195897860515,True,C:\Users\ASUS\skripsi_carin\models\kota_surakarta_(solo)_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 3, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",75.17220779999934,0:01:15
Kota Tanggerang,kota_tanggerang,2009,0.9791562238218017,39.43320769624074,13.02536793561764,0.06991199261098144,True,C:\Users\ASUS\skripsi_carin\models\kota_tanggerang_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",79.75658629999998,0:01:20
Kota Tanjung,kota_tanjung,2009,0.9763655462184874,63.35525936249404,4.722222222222222,0.02361111111111111,True,C:\Users\ASUS\skripsi_carin\models\kota_tanjung_gbm_delta.pack.joblib,"{""learning_rate"": 0.03, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",35.23162830000001,0:00:35
Kota Tanjung Pandan,kota_tanjung_pandan,2009,0.9423515417136799,74.77719648782616,18.421430035051404,0.10079371433684213,True,C:\Users\ASUS\skripsi_carin\models\kota_tanjung_pandan_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",62.22705320000023,0:01:02
Kota Tanjung Pinang,kota_tanjung_pinang,2009,0.9423515417136799,74.77719648782616,18.421430035051404,0.10079371433684213,True,C:\Users\ASUS\skripsi_carin\models\kota_tanjung_pinang_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",63.18254640000032,0:01:03
Kota Tarakan,kota_tarakan,2009,0.958691757599088,29.34469476943168,6.666666666666667,0.031193331508557798,True,C:\Users\ASUS\skripsi_carin\models\kota_tarakan_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 3, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",71.95417780000025,0:01:12
Kota Tasikmalaya,kota_tasikmalaya,2009,0.8746989423609679,88.47155897151401,39.68037794299126,0.19028587706580424,True,C:\Users\ASUS\skripsi_carin\models\kota_tasikmalaya_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",78.51122850000047,0:01:19
Kota Sumenep,kota_sumenep,2009,0.8490973546398233,55.444304097034575,37.02953208665363,0.18258737590287621,True,C:\Users\ASUS\skripsi_carin\models\kota_sumenep_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",80.2541699000003,0:01:20
Kota Tembilahan,kota_tembilahan,2009,0.9860003198969189,66.03556761403847,11.524695655270403,0.06007964703250285,True,C:\Users\ASUS\skripsi_carin\models\kota_tembilahan_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",59.57670860000053,0:01:00
Kota Ternate,kota_ternate,2009,0.9336475614255022,7.533108143347089,2.5450261226754165,0.011653272280559792,True,C:\Users\ASUS\skripsi_carin\models\kota_ternate_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",60.53849040000023,0:01:01
Kota Tual,kota_tual,2009,0.9818689379949788,80.62422420798659,16.790903695993258,0.070849737674829,True,C:\Users\ASUS\skripsi_carin\models\kota_tual_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",63.637788,0:01:04
Kota Watampone,kota_watampone,2009,0.9583344265291021,28.424667056747364,9.057693643625276,0.04808935371491324,True,C:\Users\ASUS\skripsi_carin\models\kota_watampone_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",64.20665590000044,0:01:04
Kab. Wonogiri,kab._wonogiri,2009,0.9735616369980294,98.33715690144649,29.233768855994075,0.14953694895038885,True,C:\Users\ASUS\skripsi_carin\models\kab._wonogiri_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",75.81526960000065,0:01:16
Kota Yogyakarta,kota_yogyakarta,2009,0.899736798871324,39.03716286438375,16.48451419924675,0.08413889026662948,True,C:\Users\ASUS\skripsi_carin\models\kota_yogyakarta_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",61.943355899999915,0:01:02
