mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_max_depth,param_min_samples_leaf,param_n_estimators,param_random_state,param_subsample,params,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse,split0_train_neg_rmse,split1_train_neg_rmse,split2_train_neg_rmse,split3_train_neg_rmse,split4_train_neg_rmse,mean_train_neg_rmse,std_train_neg_rmse,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
1.3548040390014648,0.23660977513696074,0.0058440685272216795,0.001359280432188738,0.03,huber,1,1,400,42,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 1, 'min_samples_leaf': 1, 'n_estimators': 400, 'random_state': 42, 'subsample': 1.0}",-40.458065768575985,-350.7674694386141,-640.6987516571231,-27.616380088512695,-53.71005257226575,-222.65014390501833,241.22668358578463,46,-33.026071451087546,-35.5812484460706,-200.8929239607722,-185.2125488251639,-166.4014224820505,-124.22284303302895,74.23107371485715,-0.10393027669280341,-0.0015013680272777385,-26.39905443910025,-0.2676647128809362,-0.14605606236090574,-5.383641371812435,10.508052947197399,46,0.12552081320439334,0.07648366324605216,0.03210585278904188,0.021816288311638954,0.017941437440801677,0.054773610998385604,0.04106851440815886
1.9414433002471925,0.29983393316336604,0.005447673797607422,0.0009658608177339957,0.03,huber,1,1,600,42,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 1, 'min_samples_leaf': 1, 'n_estimators': 600, 'random_state': 42, 'subsample': 1.0}",-41.89529199382305,-350.7632316693452,-648.9770293755522,-27.727768863534283,-56.64413378933802,-225.20149113831854,243.458445671441,50,-32.48377729264538,-35.40855691341715,-200.1289288927836,-184.99108600644814,-166.10723858576262,-123.82391753821139,74.1782363089679,-0.1837550799673806,-0.0014771690552954908,-27.11165860325062,-0.2779114133253713,-0.27469002607141224,-5.569898458334015,10.771347599200176,49,0.15400325168949336,0.08542637530455166,0.039453650275459995,0.024154162369403487,0.02141076395576924,0.06488964071893555,0.05011940673719979
2.7746710777282715,0.302736006114977,0.00650787353515625,0.000661183424915431,0.03,huber,1,1,800,42,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 1, 'min_samples_leaf': 1, 'n_estimators': 800, 'random_state': 42, 'subsample': 1.0}",-42.28001341194655,-350.7632483695757,-652.9136302688133,-27.94788678072328,-59.71853418534068,-226.72466260327997,244.31360546215595,53,-31.992682730662455,-35.408204415573,-199.49593235425766,-184.78158997829703,-165.91630876290566,-123.51894364833916,74.11303532111174,-0.20559557502025338,-0.0014772644181979544,-27.45373547936576,-0.29828144167693704,-0.41681447883979694,-5.67518084786419,10.890125631434756,53,0.17938970059987502,0.08544458466717042,0.04552034885153822,0.02636313441469129,0.023659124588202296,0.07207537862429544,0.05802415342440288
3.1037099838256834,0.604432723365306,0.006159734725952148,0.0008274808349566598,0.03,huber,1,1,1000,42,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 1, 'min_samples_leaf': 1, 'n_estimators': 1000, 'random_state': 42, 'subsample': 1.0}",-42.829045649917795,-350.76324828060586,-654.7239394945644,-28.134556055223115,-62.606985318632425,-227.81155495978874,244.4394753030101,55,-31.534333875847317,-35.408205842687494,-198.9950430838362,-184.58549093799297,-165.74513119767087,-123.25364098760697,74.07176833716451,-0.23710968509599128,-0.0014772639101556795,-27.61173944026712,-0.31568229958120986,-0.5571852873173577,-5.7446387952343665,10.934990758316998,54,0.20273450588732034,0.08544451094553784,0.050307297879953916,0.028428577658799137,0.02567268722681726,0.0785175159196857,0.06568886955069078
1.2294425964355469,0.1193968315259374,0.004202795028686523,0.0002989189572444877,0.03,huber,1,3,400,42,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 1, 'min_samples_leaf': 3, 'n_estimators': 400, 'random_state': 42, 'subsample': 1.0}",-38.28521366486002,-350.7674694386141,-260.3641077225488,-27.66042840359274,-52.657062630787784,-145.94685637208067,133.6626237298979,11,-33.0539103412393,-35.5812484460706,-201.62432313563687,-185.3826373331094,-166.51688528375757,-124.43180090796275,74.41664307521572,0.011461557667802658,-0.0015013680272777385,-3.524702703613916,-0.2717118056498038,-0.10155951525681117,-0.7776027669760012,1.3772780470695365,11,0.12404593051923507,0.07648366324605216,0.025045318869229005,0.020018848505768405,0.016578100861123102,0.05243437240028155,0.04193609971797854
1.817523717880249,0.3403741753172538,0.014943122863769531,0.017929365020708403,0.03,huber,1,3,600,42,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 1, 'min_samples_leaf': 3, 'n_estimators': 600, 'random_state': 42, 'subsample': 1.0}",-38.50636161658293,-350.7632316693452,-263.9888690548045,-27.68808119144548,-53.30367681767533,-146.8500440699707,134.15732715471793,13,-32.51298582837504,-35.40855691341715,-201.17734406519014,-185.0286736997454,-166.22825328315048,-124.07116275797566,74.40747147345404,8.32955921681311e-06,-0.0014771690552954908,-3.6515645341766874,-0.2742557977087503,-0.12877931446053092,-0.8112136971684094,1.4237547381059978,12,0.15248117280952378,0.08542637530455166,0.029363263125412264,0.023757564660163655,0.019984374364465762,0.06220255005282342,0.051045833938461856
2.647933912277222,0.6283127764603206,0.006376218795776367,0.0010983604331093724,0.03,huber,1,3,800,42,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 1, 'min_samples_leaf': 3, 'n_estimators': 800, 'random_state': 42, 'subsample': 1.0}",-38.649879547394,-350.7632483695757,-263.99392339987475,-27.689087487812035,-53.30599809040923,-146.88042737901316,134.13454174893081,14,-32.02265405110687,-35.408204415573,-200.8779843117622,-184.7454280475044,-165.92817299228872,-123.79648876364703,74.38593216401074,-0.007459744887075681,-0.0014772644181979544,-3.651742654090789,-0.27434842256577974,-0.128877628942913,-0.812781142980951,1.422961194839069,14,0.1778514554415156,0.08544458466717042,0.03224980471014827,0.026744180424497888,0.023519488571201452,0.06916190276290672,0.058861771491781505
3.1671454906463623,0.6309301072934568,0.0050542354583740234,0.0007957297853382637,0.03,huber,1,3,1000,42,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 1, 'min_samples_leaf': 3, 'n_estimators': 1000, 'random_state': 42, 'subsample': 1.0}",-38.745631677423944,-350.76324828060586,-263.59941742960694,-27.738037760605312,-53.305188296896475,-146.8303046890277,134.04169735607312,12,-31.583103228370977,-35.408205842687494,-200.6399610473546,-184.55195886955758,-165.71066772431433,-123.57877934245701,74.38884973030117,-0.01245773772533032,-0.0014772639101556795,-3.6378501445092066,-0.2788581300134694,-0.12884333070745368,-0.8118973213731231,1.4165159518848836,13,0.2002665806970012,0.08544451094553784,0.03454184871487609,0.028781539748097162,0.026077829895236437,0.07502246200014975,0.06628301189132647
1.8468686103820802,0.481403160746135,0.004978322982788086,0.0007776504404703546,0.03,huber,2,1,400,42,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 400, 'random_state': 42, 'subsample': 1.0}",-42.03462242532318,-352.3900160668319,-686.3217601856888,-41.424091034428756,-72.79865306357219,-238.99382855516896,252.35234898015716,64,-22.40508982601337,-28.576622397907716,-192.83011602091818,-178.15751525189077,-160.4786485580445,-116.48959841095491,75.02856687481297,-0.19164175915144632,-0.010788095871205217,-30.440059330659498,-1.8521796287298167,-1.1054328553256836,-6.720020333947529,11.878495188636544,62,0.5975341607334419,0.40430492367911386,0.10823934101696564,0.09491804952511584,0.08660667341216088,0.25832062967335967,0.20740670815060339
2.8686001777648924,0.6269747658815321,0.005535221099853516,0.0014932664498311695,0.03,huber,2,1,600,42,1.0,"{'learning_rate': 0.03, 'loss': 'huber', 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 600, 'random_state': 42, 'subsample': 1.0}",-43.12466522314102,-352.32809426018457,-684.6113539031646,-47.83168920855938,-154.00190842085428,-256.37954220318073,241.67732149996706,66,-19.055373738768516,-26.63194941302308,-190.78948092204075,-174.7927627460013,-158.61949188673557,-113.97781174131384,75.14111963027686,-0.2542464654122445,-0.010432896671152658,-30.2835488701058,-2.8027899348237866,-8.422082732552068,-8.35462017991301,11.374944391057449,65,0.7088809754388781,0.4826217917751374,0.12701368284455283,0.128782673965943,0.10764753794301463,0.31098933239350524,0.24338021780390323
